,,SN neutrino arrival delay [s] 2022-06-14 20:00:00.100
AZ Cep,PandaX-4T,0.08163489196237433
AZ Cep,HK,0.08346311480498773
AZ Cep,KL,0.08347057941187415
AZ Cep,SK,0.08347102025028268
ASAS J152507-5938.6,NOvA,0.029248291269121113
ASAS J152507-5938.6,MicroBooNe,0.031546452185242255
ASAS J152507-5938.6,SBND,0.031546452185242255
ASAS J152507-5938.6,DUNE,0.031546452185242255
ASAS J152507-5938.6,LZ,0.031546452185242255
ASAS J152507-5938.6,SNOP,0.03160294338992806
ASAS J152507-5938.6,HALO-1kT,0.03160294338992806
ASAS J152507-5938.6,SK,0.03447713620401046
ASAS J152507-5938.6,KL,0.034477139758173805
ASAS J152507-5938.6,HK,0.034496427761171664
ASAS J152507-5938.6,PandaX-4T,0.04324479396544389
ASAS J152507-5938.6,JUNO,0.04330821131475976
ASAS J152507-5938.6,Baksan,0.044173240309797884
ASAS J152507-5938.6,DS-20K,0.044440008305402276
ASAS J152507-5938.6,Borexino,0.044440008305402276
ASAS J152507-5938.6,LVD,0.044440008305402276
ASAS J152507-5938.6,XENONnT,0.044440008305402276
ASAS J152507-5938.6,KM3,0.04668122603243453
ASAS J152507-5938.6,IC,0.06321023055871475
HD 201065,IC,0.06656903173989147
HD 201065,MicroBooNe,0.08353596187306735
HD 201065,LZ,0.08353596187306735
HD 201065,SBND,0.08353596187306735
HD 201065,DUNE,0.08353596187306735
HD 201065,SNOP,0.08475607655043406
HD 201065,HALO-1kT,0.08475607655043406
HD 201065,NOvA,0.08605415286241642
HD 201065,KM3,0.09035995898861592
HD 201065,DS-20K,0.09119059097866794
HD 201065,LVD,0.09119059097866794
HD 201065,XENONnT,0.09119059097866794
HD 201065,Borexino,0.09119059097866794
HD 201065,Baksan,0.09592543635388626
HD 201065,JUNO,0.1001724216852461
HD 201065,PandaX-4T,0.10062754242742074
HD 201065,HK,0.1006605950428876
HD 201065,KL,0.10066481531422734
HD 201065,SK,0.10066535189245676
tet Del,MicroBooNe,0.027193938285835027
tet Del,LZ,0.027193938285835027
tet Del,DUNE,0.027193938285835027
tet Del,SBND,0.027193938285835027
tet Del,SNOP,0.028416380987741324
tet Del,HALO-1kT,0.028416380987741324
tet Del,NOvA,0.02983180916710088
tet Del,IC,0.03422469795589914
tet Del,DS-20K,0.04056410591241323
tet Del,LVD,0.04056410591241323
tet Del,XENONnT,0.04056410591241323
tet Del,Borexino,0.04056410591241323
