ASAS J104420-5803.9  ,161.08350,  -58.06486 
HD 101007  ,174.23717,  -61.18278    
NSV 20321  ,232.35112,  -46.73269  
NSV 18809  ,174.14517,  -61.60978   
V0910 Cen  ,173.93729,  -61.57806   
V0361 Car  ,158.93233,  -58.24500   
V0349 Car  ,157.39738,  -57.96639   
V1092 Cen  ,174.10925,  -61.31944   
NSV 4976  ,161.91254,  -57.92408   
W Per   ,42.65787,   56.98342     
KK Per   ,32.56579,   56.55906    
BO Car  ,161.46108,  -59.48869     
RW Cep  ,335.77925,   55.96322     
GU Cep  ,347.54537,   61.24161    
VV Cep  ,329.16308,   63.62556     
V0492 Aql  ,284.86350,    5.37783    
NSV 687   ,29.91529,   60.25053     
V0703 Cas   ,36.84995,   60.67995     
TYC 4051-1269-1   ,42.55817,   62.42056  
TYC 4032-1723-1   ,26.15975,   61.62867   
BD+59 580   ,45.16646,   59.96667    
AZ Cas   ,25.56879,   61.42119    
V0730 Car  ,161.23892,  -59.93511  
RT Car  ,161.19646,  -59.41336     
XY Lyr  ,279.52700,   39.66833    
V0634 Cas   ,12.38960,   64.78312  
FZ Per   ,35.24854,   57.15833    
V0403 Per   ,35.85046,   57.21194 
RS Per   ,35.60121,   57.10947    
V0439 Per   ,35.79613,   57.19944 
HD 17306   ,42.18596,   54.16936  
HD 236947   ,31.80021,   58.78775 
NSV 985   ,44.10271,   64.33244   
NSV 15465   ,33.98079,   63.23631 
NSV 15324   ,23.35979,   54.94486 
 NSV 544   ,23.37171,   60.64658  
PP Per   ,34.28429,   58.52972  
NSV 25100  ,304.73975 ,  39.00419 
NSV 17172 , 101.34796 ,  24.67247 
